,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
34,17,21,21,18,23,13,19,16,19,18,18,18,23,19,22,18,21,18,22,18,20,19,16,20,20,23,16,18,16,15,19,16,19,19
35,17,21,22,18,23,14,18,16,18,18,18,17,23,20,22,18,20,18,22,19,21,19,17,20,21,23,17,18,16,15,19,16,19,19
36,18,21,22,19,22,15,19,16,17,18,17,17,22,20,22,18,20,17,22,19,21,18,17,19,21,23,17,17,17,16,19,15,19,20
37,18,21,22,18,23,15,20,15,17,17,17,17,23,20,21,18,20,17,22,19,21,17,17,19,21,22,17,17,17,16,19,15,19,20
38,18,21,23,17,22,15,20,15,17,18,17,18,23,21,21,18,20,17,22,19,20,18,18,19,20,22,17,17,18,16,19,15,20,20
39,19,20,23,16,22,14,21,16,17,17,17,18,23,22,21,18,20,17,22,19,20,19,18,19,20,22,17,17,17,17,18,15,19,19
40,19,20,24,17,21,14,22,16,18,18,17,17,22,22,21,17,21,18,22,19,20,19,18,19,19,21,17,17,17,17,18,15,19,19
41,19,20,24,16,21,13,21,16,19,18,17,16,22,22,22,17,21,18,22,19,20,19,19,18,20,21,18,16,18,16,19,15,20,20
42,19,20,23,17,21,14,21,15,19,18,17,16,22,22,22,16,21,19,22,19,20,19,18,18,20,22,17,16,18,16,18,15,19,20
43,19,20,23,17,21,14,21,15,19,18,17,16,21,23,22,17,21,19,21,19,20,19,19,18,20,22,17,15,18,17,17,16,19,20
44,18,20,22,17,21,14,21,15,19,19,17,17,21,22,21,17,20,19,21,19,20,19,20,17,19,22,17,15,19,17,17,16,19,21
45,19,20,22,17,22,14,20,15,19,18,18,17,20,22,21,18,21,20,21,19,20,19,20,17,18,21,16,16,19,18,17,17,19,21
46,19,20,22,17,21,15,21,15,19,19,17,17,20,22,21,18,21,20,20,19,21,18,19,18,17,21,17,15,18,19,17,17,19,20
