,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
396,9,8,11,5,11,6,8,11,10,9,16,9,8,13,10,16,17,17,7,7,10,10,15,12,9,8,8,17,13,11,8,12,11,13,12,17,6,12,6,13,8,16,9,14,10,14,16,18,8,14,8
397,9,10,15,13,8,11,10,10,8,10,8,10,11,13,9,11,11,16,14,17,6,6,13,6,11,10,13,14,15,16,7,11,7,11,15,15,7,10,11,12,10,11,13,11,14,8,7,10,13,13,13
398,12,13,10,8,15,8,9,8,7,10,10,8,14,15,14,12,14,15,14,11,10,19,16,17,10,13,12,9,6,9,16,17,16,19,12,19,16,15,16,16,12,18,15,13,15,15,11,10,15,13,13
399,8,16,8,8,16,8,5,12,9,15,13,13,9,10,7,11,12,12,13,14,14,13,12,13,15,11,13,10,14,8,5,7,7,9,16,13,15,19,15,12,21,13,10,9,14,6,10,10,10,8,8
400,18,19,15,17,17,12,16,13,12,19,20,17,17,17,21,9,12,9,14,10,13,15,18,15,13,14,16,10,15,12,14,13,16,13,13,13,9,16,9,10,13,15,13,11,15,16,12,17,9,13,13
401,10,11,11,7,11,9,9,15,9,11,13,13,10,10,8,14,9,14,9,11,9,15,9,17,12,16,12,6,17,10,16,13,14,12,11,14,12,18,14,14,19,15,14,13,19,10,18,10,16,14,17
402,9,12,10,12,16,13,11,15,11,11,11,10,8,8,8,13,13,12,17,14,16,14,15,15,15,10,18,9,18,13,14,11,18,12,13,7,7,11,8,10,17,14,12,16,14,18,18,18,12,13,7
403,9,12,9,8,15,9,10,19,6,9,13,9,11,15,13,13,15,14,12,14,16,5,8,8,12,11,15,16,15,18,10,17,15,10,17,13,10,15,12,7,13,8,13,19,13,12,9,10,17,13,13
404,6,11,11,7,13,9,7,13,7,13,14,13,10,6,10,16,13,16,19,14,15,11,10,11,12,8,12,14,20,16,11,12,12,15,15,15,16,12,14,16,21,16,11,18,13,14,14,14,17,14,16
405,12,11,11,13,13,11,14,12,14,10,14,12,15,12,15,14,17,12,10,15,10,8,16,12,10,10,12,12,18,14,11,7,13,15,20,21,14,22,16,16,10,16,13,14,12,14,12,12,16,11,16
406,10,16,6,14,6,14,7,11,7,15,11,11,9,13,8,16,9,13,17,19,22,13,15,10,10,11,16,15,12,15,18,10,14,15,15,15,12,14,12,17,19,18,13,12,11,13,14,14,13,15,14
407,12,14,15,7,11,11,12,16,12,16,15,13,12,16,16,16,13,14,12,9,14,13,7,10,13,10,11,12,12,15,14,14,14,17,11,13,7,11,9,11,12,9,13,14,12,16,13,16,16,15,15
