,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
84,25.0,37.0,31.0,25.0,30.0,24.0,33.0,34.0,35.0,30.0,34.0,37.0,41.0,36.0,44.0,39.0,35.0
85,37.0,28.0,22.0,26.0,28.0,34.0,33.0,37.0,27.0,46.0,50.0,30.0,37.0,43.0,41.0,38.0,25.0
86,32.0,29.0,21.0,33.0,33.0,39.0,24.0,23.0,49.0,25.0,35.0,21.0,33.0,33.0,21.0,29.0,26.0
87,38.0,33.0,33.0,34.0,41.0,36.0,41.0,33.0,34.0,30.0,37.0,28.0,21.0,38.0,34.0,30.0,22.0
88,42.0,32.0,43.0,36.0,37.0,26.0,25.0,28.0,35.0,33.0,38.0,26.0,24.0,39.0,34.0,36.0,33.0
89,40.0,39.0,33.0,33.0,39.0,37.0,28.0,25.0,54.0,46.0,39.0,34.0,35.0,37.0,37.0,28.0,33.0
90,40.0,39.0,35.0,29.0,40.0,28.0,37.0,32.0,42.0,30.0,33.0,40.0,39.0,38.0,33.0,44.0,29.0
91,39.0,27.0,25.0,43.0,40.0,29.0,37.0,42.0,42.0,28.0,31.0,43.0,36.0,38.0,41.0,48.0,45.0
92,34.0,28.0,24.0,34.0,29.0,27.0,32.0,30.0,37.0,36.0,29.0,34.0,29.0,44.0,31.0,31.0,30.0
93,26.0,28.0,26.0,29.0,16.0,25.0,19.0,29.0,17.0,29.0,38.0,27.0,28.0,33.0,30.0,19.0,24.0
94,28.0,28.0,40.0,29.0,35.0,24.0,22.0,45.0,44.0,36.0,34.0,39.0,42.0,37.0,33.0,30.0,33.0
95,40.0,35.0,30.0,27.0,38.0,36.0,44.0,33.0,41.0,37.0,46.0,47.0,38.0,40.0,40.0,40.0,38.0
96,35.0,37.0,29.0,25.0,24.0,35.0,23.0,36.0,38.0,37.0,31.0,34.0,27.0,26.0,41.0,39.0,37.0
97,31.0,32.0,23.0,35.0,35.0,43.0,45.0,38.0,25.0,35.0,34.0,38.0,48.0,38.0,33.0,43.0,39.0
98,23.0,23.0,23.0,30.0,33.0,40.0,36.0,30.0,40.0,45.0,41.0,46.0,41.0,41.0,39.0,45.0,36.0
99,51.0,44.0,40.0,34.0,38.0,47.0,41.0,36.0,36.0,35.0,43.0,43.0,36.0,39.0,31.0,51.0,47.0
100,32.0,35.0,38.0,30.0,37.0,31.0,46.0,32.0,53.0,38.0,42.0,30.0,40.0,47.0,41.0,46.0,34.0
101,37.0,46.0,40.0,45.0,31.0,38.0,48.0,48.0,41.0,45.0,44.0,27.0,37.0,36.0,41.0,27.0,34.0
102,42.0,39.0,35.0,37.0,47.0,36.0,50.0,41.0,47.0,45.0,52.0,49.0,42.0,35.0,41.0,46.0,41.0
103,46.0,47.0,52.0,34.0,37.0,36.0,38.0,42.0,41.0,42.0,47.0,42.0,31.0,43.0,47.0,45.0,34.0
104,34.0,35.0,32.0,26.0,43.0,35.0,43.0,31.0,40.0,34.0,34.0,37.0,31.0,43.0,46.0,31.0,29.0
