scorer,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000
bodyparts,nose,nose,nose,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,left_shoulder,left_shoulder,left_shoulder,right_shoulder,right_shoulder,right_shoulder,left_elbow,left_elbow,left_elbow,right_elbow,right_elbow,right_elbow,left_wrist,left_wrist,left_wrist,right_wrist,right_wrist,right_wrist,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,left_knee,left_knee,left_knee,right_knee,right_knee,right_knee,left_ankle,left_ankle,left_ankle,right_ankle,right_ankle,right_ankle
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,1024.653076171875,199.3653564453125,0.9618147611618042,1019.0839233398438,196.272705078125,0.8968944549560547,1019.5388793945312,195.17811584472656,0.938890814781189,1014.8723754882812,190.5620574951172,0.4342639446258545,1017.5657958984375,186.45423889160156,0.799954354763031,990.7492065429688,192.1155548095703,0.882572591304779,1007.8101196289062,194.33734130859375,0.9598483443260193,990.4866333007812,217.9618377685547,0.9749793410301208,1008.90234375,214.0980682373047,0.8273147344589233,985.2015380859375,238.53387451171875,0.9932117462158203,1009.3121948242188,237.73036193847656,0.8885051608085632,994.9884643554688,216.26889038085938,0.6182478666305542,1013.2940673828125,217.17892456054688,0.8902605175971985,992.4924926757812,201.35450744628906,0.9292300939559937,1012.7655639648438,198.29396057128906,0.7919876575469971,995.65380859375,239.5045928955078,0.8444123268127441,1012.4464111328125,239.0963134765625,0.9095552563667297
9,1025.2535400390625,199.3653564453125,0.9854065179824829,1022.0584716796875,196.272705078125,0.9474068284034729,1023.1873168945312,195.17811584472656,0.976680338382721,1020.3876953125,191.67897033691406,0.5444810390472412,1020.249755859375,187.6980438232422,0.8954604268074036,992.691650390625,192.323486328125,0.7809171676635742,1007.9824829101562,194.48280334472656,0.9791385531425476,991.1807861328125,217.9618377685547,0.9697504639625549,1008.5540161132812,214.0980682373047,0.867701530456543,985.2977905273438,238.90353393554688,0.9884282946586609,1009.046630859375,240.28317260742188,0.9388193488121033,993.9957275390625,216.2288055419922,0.6307224035263062,1013.2940673828125,217.17892456054688,0.800950825214386,992.75341796875,201.35450744628906,0.8982227444648743,1010.4617309570312,198.29396057128906,0.7681589722633362,995.65380859375,239.5045928955078,0.7588507533073425,1011.7045288085938,239.53321838378906,0.841773509979248
10,1025.876220703125,200.29257202148438,0.9904220104217529,1022.765380859375,197.0489501953125,0.9712647795677185,1023.2769165039062,195.18252563476562,0.9825837016105652,1023.2916870117188,192.69900512695312,0.6485313773155212,1020.9378051757812,189.77662658691406,0.9090330600738525,1006.9371337890625,199.07391357421875,0.7226114273071289,1007.9824829101562,194.1951904296875,0.9845104813575745,993.0050659179688,218.0464324951172,0.9403483867645264,1008.1890869140625,214.3696746826172,0.930716872215271,985.33203125,239.14520263671875,0.9848787188529968,1008.945068359375,240.5794677734375,0.9614338874816895,993.9957275390625,216.2288055419922,0.710110068321228,1012.5847778320312,217.17892456054688,0.8078333139419556,992.75341796875,201.8428497314453,0.9096498489379883,1009.6528930664062,196.9337921142578,0.7566245794296265,995.65380859375,239.5045928955078,0.7782865762710571,1011.0803833007812,239.53321838378906,0.7864633202552795
11,1026.41845703125,200.6976776123047,0.9971990585327148,1024.5091552734375,197.49884033203125,0.9941406846046448,1023.81005859375,195.4749298095703,0.9949658513069153,1023.9290771484375,193.66004943847656,0.8138110637664795,1021.0481567382812,189.8990020751953,0.9557634592056274,1009.4096069335938,199.12948608398438,0.8346269130706787,1007.9824829101562,194.41555786132812,0.9884026646614075,997.2841186523438,219.3474884033203,0.9038548469543457,1008.1575317382812,215.26956176757812,0.9349608421325684,989.12890625,239.9562530517578,0.977860689163208,1008.36767578125,242.88134765625,0.9832665920257568,992.5422973632812,216.1331329345703,0.7579769492149353,1008.435546875,219.48153686523438,0.6110759973526001,993.0287475585938,201.8802947998047,0.8685407638549805,1007.619140625,196.9337921142578,0.7914542555809021,994.6826782226562,239.5045928955078,0.7031424641609192,1008.4231567382812,239.53321838378906,0.5376994609832764
12,1026.9451904296875,200.6976776123047,0.9963251948356628,1026.0191650390625,197.49884033203125,0.9959326386451721,1024.80908203125,195.4749298095703,0.9974494576454163,1025.4482421875,194.0299835205078,0.8952720761299133,1022.6652221679688,189.8990020751953,0.9727110862731934,1010.3921508789062,199.12948608398438,0.8599697947502136,1008.2181396484375,194.41555786132812,0.9875592589378357,997.2841186523438,220.56088256835938,0.9258294105529785,1006.2478637695312,218.50743103027344,0.8554452061653137,989.5839233398438,239.9562530517578,0.9607698917388916,1007.3428344726562,242.88134765625,0.9678947329521179,992.5422973632812,215.591064453125,0.6008643507957458,1008.435546875,219.48153686523438,0.29553017020225525,993.3472900390625,203.1907501220703,0.804533064365387,1004.137451171875,194.31520080566406,0.829584002494812,993.8992919921875,238.08070373535156,0.6953624486923218,1008.4231567382812,233.57440185546875,0.18658842146396637
13,1027.2020263671875,201.39512634277344,0.9966758489608765,1026.5106201171875,197.82101440429688,0.9955191612243652,1024.8641357421875,195.82400512695312,0.9976668357849121,1025.921142578125,194.03936767578125,0.8976689577102661,1023.2777099609375,189.94041442871094,0.9766213297843933,1010.3921508789062,199.53604125976562,0.8358760476112366,1008.4763793945312,194.41555786132812,0.9873296022415161,997.2841186523438,222.80189514160156,0.9328122735023499,1006.2478637695312,219.1815185546875,0.8901015520095825,990.3969116210938,239.98292541503906,0.9728038311004639,1007.3428344726562,243.40553283691406,0.9593742489814758,984.7355346679688,209.3284149169922,0.6722778677940369,1007.8983764648438,219.87303161621094,0.3634447753429413,993.3472900390625,203.1907501220703,0.8061774969100952,1004.137451171875,194.3125762939453,0.8056381344795227,992.1232299804688,238.08070373535156,0.6394335031509399,1008.3433227539062,233.57440185546875,0.2868706285953522
14,1027.7646484375,204.03546142578125,0.9946251511573792,1026.67529296875,200.83447265625,0.9811103343963623,1026.1875,198.6654510498047,0.994666576385498,1026.2603759765625,195.83070373535156,0.8131569027900696,1024.4814453125,193.19981384277344,0.9815804362297058,1010.5806884765625,199.07391357421875,0.7191100716590881,1008.8469848632812,194.41555786132812,0.982121467590332,997.0267333984375,223.11058044433594,0.8956766128540039,1006.2478637695312,219.56317138671875,0.8698218464851379,990.3969116210938,239.98292541503906,0.9788999557495117,1007.3428344726562,244.5150146484375,0.9530066847801208,984.6775512695312,209.28448486328125,0.6718542575836182,1007.8983764648438,219.48153686523438,0.42842790484428406,988.1510009765625,202.01870727539062,0.8515582084655762,1004.137451171875,194.20675659179688,0.8815786838531494,991.4248657226562,238.08070373535156,0.572361946105957,1008.1727294921875,233.57440185546875,0.34769606590270996
15,1028.490966796875,206.9421844482422,0.9949413537979126,1027.4481201171875,202.96070861816406,0.9832233786582947,1027.7340087890625,201.9318084716797,0.9950301647186279,1027.3607177734375,196.29112243652344,0.7878857254981995,1025.546142578125,194.89625549316406,0.9903315305709839,1010.6644897460938,198.8258819580078,0.5968677401542664,1009.6104125976562,194.41555786132812,0.9847361445426941,997.0267333984375,223.54164123535156,0.8774965405464172,1008.3760375976562,219.56317138671875,0.9485059976577759,990.0433349609375,239.6008758544922,0.9589130878448486,1007.2686157226562,244.4219512939453,0.9853593111038208,984.6775512695312,209.28448486328125,0.5367870330810547,1008.6519165039062,219.48153686523438,0.23557698726654053,988.1650390625,202.01870727539062,0.8359217643737793,1004.3004150390625,194.20675659179688,0.8852447271347046,991.4248657226562,237.45437622070312,0.8244120478630066,1008.1727294921875,240.51673889160156,0.3141981065273285
16,1030.2017822265625,206.9421844482422,0.9954676628112793,1027.90966796875,202.96070861816406,0.982772171497345,1028.2357177734375,201.9318084716797,0.9952163696289062,1027.6422119140625,196.63377380371094,0.7373991012573242,1026.308837890625,195.089599609375,0.991858184337616,1011.227294921875,198.59666442871094,0.6319692134857178,1009.7182006835938,194.30062866210938,0.9871769547462463,997.0267333984375,223.88638305664062,0.8987913131713867,1008.3760375976562,218.58612060546875,0.9684712290763855,989.5839233398438,239.54010009765625,0.9597445726394653,1008.2548828125,244.4219512939453,0.9915081262588501,984.6775512695312,209.28448486328125,0.6024582982063293,1009.0767822265625,220.1626434326172,0.3370910584926605,988.0480346679688,201.8405303955078,0.8756343722343445,1005.0582885742188,194.3125762939453,0.8459966778755188,991.9083862304688,237.4722442626953,0.8541346788406372,1008.1727294921875,240.51673889160156,0.41442203521728516
17,1030.6849365234375,206.9586639404297,0.9966463446617126,1029.151123046875,203.28515625,0.9811527729034424,1028.9559326171875,201.9318084716797,0.9939883947372437,1028.442138671875,197.33384704589844,0.7447986006736755,1027.28125,195.2205352783203,0.9909121990203857,1012.4159545898438,198.59666442871094,0.651874840259552,1009.8397216796875,194.30685424804688,0.983237624168396,996.3521728515625,223.88638305664062,0.8871638774871826,1009.08251953125,218.58612060546875,0.9329565763473511,989.9606323242188,239.54010009765625,0.9702444076538086,1008.2548828125,244.4219512939453,0.9695788621902466,984.6775512695312,209.28448486328125,0.6837402582168579,1009.0767822265625,220.1626434326172,0.19847817718982697,988.0480346679688,201.8405303955078,0.7995991706848145,1005.3602905273438,194.84950256347656,0.8737038373947144,991.9083862304688,237.4722442626953,0.6474730968475342,1007.36181640625,240.51673889160156,0.19641441106796265
