,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
27,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,5,0,2,7,0,0,0,4,0,7,4,0,1
28,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,5,0,2,7,0,0,0,3,0,7,4,0,1
29,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,5,0,2,7,0,0,0,3,0,7,3,0,1
30,0,0,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,3,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,5,1,3,7,0,0,0,2,0,6,2,0,1
31,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,5,2,4,7,0,0,0,1,0,5,2,0,1
32,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,5,2,4,7,0,0,0,1,0,4,2,0,1
33,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,5,2,4,8,0,0,0,1,0,4,2,0,1
34,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,5,0,0,2,2,0,3,0,0,3,1,0,5,2,4,8,0,0,0,1,0,5,2,0,1
35,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,5,0,0,1,2,0,3,0,0,3,1,0,5,2,4,9,0,0,0,1,0,5,2,0,1
36,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,6,0,0,5,0,0,1,2,0,3,0,0,4,1,0,5,2,4,9,0,0,0,1,0,4,2,0,1
37,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,5,0,0,1,2,0,3,0,0,5,1,0,4,2,4,9,0,0,0,1,0,3,2,0,1
38,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,5,0,0,1,2,0,4,0,0,5,1,0,3,2,4,9,0,0,0,1,0,3,2,0,1
39,0,0,3,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,5,0,0,1,3,0,5,0,0,5,1,0,3,2,4,9,0,0,0,1,0,3,1,0,1
40,0,0,4,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,7,0,0,5,0,0,1,3,0,5,0,0,5,1,0,3,2,4,9,0,0,0,1,0,3,0,0,1
41,0,0,5,0,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,7,0,0,6,0,0,1,3,0,6,0,0,5,1,0,3,2,4,9,0,0,0,1,0,3,0,0,1
42,0,0,4,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,6,0,0,1,3,0,7,0,0,4,1,0,4,2,4,9,0,0,0,1,0,3,0,0,1
43,0,0,4,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,6,0,0,1,3,0,7,0,0,3,1,1,5,2,4,9,0,0,0,1,0,3,0,0,1
44,0,0,4,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,5,0,0,1,2,0,6,0,0,3,1,1,5,2,4,8,0,0,1,1,0,3,0,0,1
45,0,0,4,0,0,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,4,0,0,1,1,0,5,0,0,3,1,1,6,2,3,8,0,0,2,0,0,3,0,0,2
46,0,0,4,0,0,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,1,0,5,0,0,3,1,1,6,2,2,7,0,0,3,0,0,3,0,0,3
47,0,0,3,0,0,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,1,0,5,0,0,3,1,1,6,2,2,7,0,0,4,0,0,3,0,0,3
48,0,0,3,0,0,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,1,0,5,0,0,3,1,1,6,2,2,7,0,0,4,0,0,3,0,0,3
49,0,0,4,0,0,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,1,0,5,0,0,3,1,1,6,2,2,6,0,0,5,0,0,3,0,0,3
50,0,0,4,0,0,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,5,0,0,5,0,0,2,0,0,0,1,0,5,0,0,3,1,1,5,2,2,6,0,0,6,0,0,3,0,0,2
51,0,0,4,0,0,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,5,0,0,4,0,0,2,0,0,0,1,0,5,0,0,3,0,1,4,2,2,6,0,0,7,0,0,3,0,0,2
52,0,0,4,0,0,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,5,0,0,3,0,0,2,0,0,0,1,0,4,0,0,3,0,1,3,2,2,6,0,0,7,0,0,3,0,0,2
53,0,0,4,0,0,3,0,0,5,0,0,1,0,0,3,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,1,0,4,0,0,3,0,1,3,2,2,6,0,0,7,0,0,3,0,0,2
54,0,0,4,0,0,3,0,0,5,0,0,1,0,0,4,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,1,0,5,0,0,3,0,1,3,2,2,6,0,0,7,0,0,3,0,0,2
55,0,0,4,0,0,3,0,0,5,0,0,1,0,0,4,0,0,0,0,0,5,0,0,3,0,0,1,0,0,1,1,0,6,0,0,3,0,1,3,2,2,6,0,0,7,0,0,3,0,0,2
56,0,0,4,0,0,3,0,0,5,0,0,1,0,0,4,0,0,0,0,0,5,0,0,3,0,0,1,0,0,2,1,0,6,0,0,3,0,1,3,2,2,6,0,0,7,0,0,3,0,0,2
57,0,0,3,0,0,3,0,0,4,0,0,1,0,0,4,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,1,0,6,0,0,3,0,1,4,2,2,6,0,0,7,0,0,3,0,0,2
58,0,0,3,0,0,3,0,0,4,0,0,1,0,0,4,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,1,0,6,0,0,3,0,1,5,1,1,5,0,0,7,0,0,3,0,0,2
