,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
99,15,15,19,18,15,16,20,16,16,18,18,19,23,16,19,23,19,16,16,18,14,19,20,12,18,16,25,18,16,15,15,16,16,22
100,15,15,20,18,15,16,20,16,16,17,18,19,23,15,19,23,18,17,17,17,14,18,20,12,18,17,25,17,17,14,15,17,16,22
101,15,16,20,17,14,16,21,17,17,17,17,19,23,15,19,23,18,17,16,16,15,18,20,13,18,18,25,17,18,13,16,17,16,23
102,16,16,20,17,14,16,21,17,17,18,18,19,23,15,18,23,18,17,17,15,16,18,20,12,18,17,25,16,19,13,16,16,17,24
103,17,17,21,17,15,16,21,16,16,18,17,18,23,15,18,22,17,17,18,15,17,19,19,11,19,17,25,16,19,13,16,15,16,24
104,17,18,20,17,14,16,21,16,15,18,17,17,23,15,18,22,17,18,19,15,17,19,19,11,20,17,24,16,19,13,17,15,16,24
105,17,18,20,18,13,17,20,15,15,18,17,18,24,16,17,22,18,18,20,16,17,18,19,11,21,16,24,16,20,12,16,14,17,24
106,18,18,20,18,14,18,19,14,15,18,17,19,24,17,17,22,19,18,21,16,17,19,19,11,21,16,23,15,21,12,16,14,17,23
107,17,18,19,19,14,18,19,15,15,18,17,18,25,16,16,21,19,18,21,15,17,19,19,11,21,17,23,14,20,12,17,15,16,22
108,17,17,19,18,13,18,20,15,16,19,18,17,24,15,17,22,19,18,21,16,17,19,19,11,22,17,23,13,19,12,18,14,16,22
109,17,17,19,17,13,18,21,16,16,19,19,17,24,16,18,21,19,18,22,16,16,19,20,12,23,18,23,12,19,13,17,14,17,22
110,17,17,18,17,13,17,21,15,17,18,19,17,24,16,18,21,19,17,21,16,16,19,19,12,23,17,23,12,18,13,17,14,18,22
111,16,17,19,16,13,17,20,15,17,18,18,18,24,16,18,21,20,17,21,16,15,18,19,11,22,17,23,13,17,14,17,14,18,21
112,16,17,19,16,13,16,20,15,16,19,18,17,24,16,17,21,20,18,21,16,14,18,20,11,23,17,23,13,16,14,18,15,18,22
113,15,16,19,16,13,17,20,15,15,18,18,16,24,17,17,20,20,19,20,15,14,17,21,11,23,16,24,14,16,14,17,16,18,22
114,16,16,19,17,14,17,19,15,16,18,19,16,24,17,17,21,20,19,19,15,14,18,20,12,23,16,24,15,16,15,18,17,18,21
115,16,15,19,17,13,17,19,15,15,19,18,16,24,17,17,22,21,20,20,15,14,18,21,13,23,16,24,16,15,15,18,16,18,21
116,16,16,18,16,13,17,19,15,15,18,19,17,23,17,17,22,21,19,20,15,14,17,20,13,23,16,24,17,16,16,17,17,17,20
